Dataset_Task_ID,Name,Ref,N,d,C,perc_cat,Subset,Metric,Setting,Model,Score,BestScore,improvability
46939 (363683),kddcup09_appetency,[110],50000,213,2.0,18.31,✗| ✓,AUC,Default,TorchMLP,0.819,0.846,2.7000000000000024
46939 (363683),kddcup09_appetency,[110],50000,213,2.0,18.31,✗| ✓,AUC,Tuned,TorchMLP,0.826,0.845,1.9000000000000017
46939 (363683),kddcup09_appetency,[110],50000,213,2.0,18.31,✗| ✓,AUC,Tuned + Ens.,TorchMLP,0.831,0.846,1.5000000000000013
46941 (363685),maternal_health_risk,[70],1014,7,3.0,14.29,✓| ✓,logloss,Default,TorchMLP,0.606,0.405,33.168316831683164
46941 (363685),maternal_health_risk,[70],1014,7,3.0,14.29,✓| ✓,logloss,Tuned,TorchMLP,0.566,0.439,22.438162544169604
46941 (363685),maternal_health_risk,[70],1014,7,3.0,14.29,✓| ✓,logloss,Tuned + Ens.,TorchMLP,0.554,0.428,22.743682310469325
46942 (363686),miami_housing,[100],13776,16,,6.25,✓| ✗,rmse,Default,TorchMLP,9265.0,7985.0,13.815434430652996
46942 (363686),miami_housing,[100],13776,16,,6.25,✓| ✗,rmse,Tuned,TorchMLP,8631.0,7829.0,9.292086664349439
46942 (363686),miami_housing,[100],13776,16,,6.25,✓| ✗,rmse,Tuned + Ens.,TorchMLP,8528.0,7711.0,9.580206378986865
46947 (363691),online_shoppers_intention,[98],12330,18,2.0,44.44,✓| ✓,AUC,Default,TorchMLP,0.93,0.937,0.7000000000000006
46947 (363691),online_shoppers_intention,[98],12330,18,2.0,44.44,✓| ✓,AUC,Tuned,TorchMLP,0.935,0.937,0.20000000000000018
46947 (363691),online_shoppers_intention,[98],12330,18,2.0,44.44,✓| ✓,AUC,Tuned + Ens.,TorchMLP,0.936,0.937,0.10000000000000009
46949 (363693),physiochemical_protein,[109],45730,10,,0.0,✗| ✗,rmse,Default,TorchMLP,3.388,2.912,14.049586776859504
46949 (363693),physiochemical_protein,[109],45730,10,,0.0,✗| ✗,rmse,Tuned,TorchMLP,3.289,3.056,7.084220127698392
46949 (363693),physiochemical_protein,[109],45730,10,,0.0,✗| ✗,rmse,Tuned + Ens.,TorchMLP,3.228,2.985,7.527881040892202
46950 (363694),polish_companies_bankruptcy,[89],5910,65,2.0,1.54,✓| ✓,AUC,Default,TorchMLP,0.903,0.974,7.099999999999995
46950 (363694),polish_companies_bankruptcy,[89],5910,65,2.0,1.54,✓| ✓,AUC,Tuned,TorchMLP,0.955,0.979,2.400000000000002
46950 (363694),polish_companies_bankruptcy,[89],5910,65,2.0,1.54,✓| ✓,AUC,Tuned + Ens.,TorchMLP,0.957,0.981,2.400000000000002
46952 (363696),qsar-biodeg,[72],1054,42,2.0,14.29,✓| ✓,AUC,Default,TorchMLP,0.924,0.938,1.3999999999999901
46952 (363696),qsar-biodeg,[72],1054,42,2.0,14.29,✓| ✓,AUC,Tuned,TorchMLP,0.923,0.934,1.100000000000001
46952 (363696),qsar-biodeg,[72],1054,42,2.0,14.29,✓| ✓,AUC,Tuned + Ens.,TorchMLP,0.927,0.936,0.9000000000000008
46956 (363700),seismic-bumps,[82],2584,16,2.0,25.0,✓| ✓,AUC,Default,TorchMLP,0.763,0.783,2.0000000000000018
46956 (363700),seismic-bumps,[82],2584,16,2.0,25.0,✓| ✓,AUC,Tuned,TorchMLP,0.758,0.772,1.4000000000000012
46956 (363700),seismic-bumps,[82],2584,16,2.0,25.0,✓| ✓,AUC,Tuned + Ens.,TorchMLP,0.762,0.771,0.9000000000000008
46958 (363702),splice,[83],3190,61,3.0,100.0,✓| ✓,logloss,Default,TorchMLP,0.157,0.107,31.84713375796179
46958 (363702),splice,[83],3190,61,3.0,100.0,✓| ✓,logloss,Tuned,TorchMLP,0.127,0.103,18.897637795275596
46958 (363702),splice,[83],3190,61,3.0,100.0,✓| ✓,logloss,Tuned + Ens.,TorchMLP,0.116,0.099,14.655172413793105
46960 (363704),students_dropout_and_academic_success,[86],4424,37,3.0,48.65,✓| ✓,logloss,Default,TorchMLP,0.581,0.534,8.089500860585186
46960 (363704),students_dropout_and_academic_success,[86],4424,37,3.0,48.65,✓| ✓,logloss,Tuned,TorchMLP,0.559,0.529,5.366726296958859
46960 (363704),students_dropout_and_academic_success,[86],4424,37,3.0,48.65,✓| ✓,logloss,Tuned + Ens.,TorchMLP,0.552,0.527,4.5289855072463805
46961 (363705),superconductivity,[103],21263,82,,0.0,✗| ✗,rmse,Default,TorchMLP,9.95,9.08,8.743718592964816
46961 (363705),superconductivity,[103],21263,82,,0.0,✗| ✗,rmse,Tuned,TorchMLP,9.66,9.28,3.93374741200829
46961 (363705),superconductivity,[103],21263,82,,0.0,✗| ✗,rmse,Tuned + Ens.,TorchMLP,9.56,9.22,3.5564853556485336
46962 (363706),taiwanese_bankruptcy_prediction,[91],6819,95,2.0,1.05,✓| ✓,AUC,Default,TorchMLP,0.925,0.944,1.8999999999999906
46962 (363706),taiwanese_bankruptcy_prediction,[91],6819,95,2.0,1.05,✓| ✓,AUC,Tuned,TorchMLP,0.94,0.944,0.40000000000000036
46962 (363706),taiwanese_bankruptcy_prediction,[91],6819,95,2.0,1.05,✓| ✓,AUC,Tuned + Ens.,TorchMLP,0.943,0.946,0.30000000000000027
46963 (363707),website_phishing,[74],1353,10,3.0,100.0,✓| ✓,logloss,Default,TorchMLP,0.289,0.228,21.107266435986148
46963 (363707),website_phishing,[74],1353,10,3.0,100.0,✓| ✓,logloss,Tuned,TorchMLP,0.237,0.223,5.907172995780584
46963 (363707),website_phishing,[74],1353,10,3.0,100.0,✓| ✓,logloss,Tuned + Ens.,TorchMLP,0.23,0.222,3.4782608695652204
46964 (363708),wine_quality,[90],6497,13,,7.69,✓| ✗,rmse,Default,TorchMLP,0.691,0.59,14.616497829232994
46964 (363708),wine_quality,[90],6497,13,,7.69,✓| ✗,rmse,Tuned,TorchMLP,0.653,0.605,7.350689127105673
46964 (363708),wine_quality,[90],6497,13,,7.69,✓| ✗,rmse,Tuned + Ens.,TorchMLP,0.65,0.599,7.846153846153853
46908 (363616),APSFailure,[113],76000,171,2.0,0.58,✗| ✓,AUC,Default,RealMLP,0.991,0.993,0.20000000000000018
46908 (363616),APSFailure,[113],76000,171,2.0,0.58,✗| ✓,AUC,Tuned,RealMLP,0.991,0.992,0.10000000000000009
46908 (363616),APSFailure,[113],76000,171,2.0,0.58,✗| ✓,AUC,Tuned + Ens.,RealMLP,0.992,0.993,0.10000000000000009
46905 (363613),Amazon_employee_access,[105],32769,10,2.0,100.0,✗| ✓,AUC,Default,RealMLP,0.844,0.882,3.8000000000000034
46905 (363613),Amazon_employee_access,[105],32769,10,2.0,100.0,✗| ✓,AUC,Tuned,RealMLP,0.846,0.883,3.7000000000000033
46905 (363613),Amazon_employee_access,[105],32769,10,2.0,100.0,✗| ✓,AUC,Tuned + Ens.,RealMLP,0.864,0.883,1.9000000000000017
46907 (363615),Another-Dataset-on-used-Fiat-500,[77],1538,8,,12.5,✓| ✗,rmse,Default,RealMLP,757.4,724.0,4.4098230789543145
46907 (363615),Another-Dataset-on-used-Fiat-500,[77],1538,8,,12.5,✓| ✗,rmse,Tuned,RealMLP,756.0,733.2,3.01587301587301
46907 (363615),Another-Dataset-on-used-Fiat-500,[77],1538,8,,12.5,✓| ✗,rmse,Tuned + Ens.,RealMLP,726.6,726.6,0.0
46911 (363619),Bank_Customer_Churn,[94],10000,11,2.0,45.45,✓| ✓,AUC,Default,RealMLP,0.866,0.872,0.6000000000000005
46911 (363619),Bank_Customer_Churn,[94],10000,11,2.0,45.45,✓| ✓,AUC,Tuned,RealMLP,0.87,0.874,0.40000000000000036
46911 (363619),Bank_Customer_Churn,[94],10000,11,2.0,45.45,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.871,0.874,0.30000000000000027
46912 (363620),Bioresponse,[84],3751,1777,2.0,0.06,✗| ✗,AUC,Default,RealMLP,0.858,0.873,1.5000000000000013
46912 (363620),Bioresponse,[84],3751,1777,2.0,0.06,✗| ✗,AUC,Tuned,RealMLP,0.864,0.875,1.100000000000001
46912 (363620),Bioresponse,[84],3751,1777,2.0,0.06,✗| ✗,AUC,Tuned + Ens.,RealMLP,0.875,0.878,0.30000000000000027
46922 (363630),Diabetes130US,[112],71518,48,2.0,83.33,✗| ✓,AUC,Default,RealMLP,0.659,0.671,1.200000000000001
46922 (363630),Diabetes130US,[112],71518,48,2.0,83.33,✗| ✓,AUC,Tuned,RealMLP,0.662,0.671,0.9000000000000008
46922 (363630),Diabetes130US,[112],71518,48,2.0,83.33,✗| ✓,AUC,Tuned + Ens.,RealMLP,0.669,0.673,0.40000000000000036
46924 (363632),E-CommereShippingData,[97],10999,11,2.0,45.45,✓| ✓,AUC,Default,RealMLP,0.741,0.744,0.30000000000000027
46924 (363632),E-CommereShippingData,[97],10999,11,2.0,45.45,✓| ✓,AUC,Tuned,RealMLP,0.742,0.744,0.20000000000000018
46924 (363632),E-CommereShippingData,[97],10999,11,2.0,45.45,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.742,0.744,0.20000000000000018
46927 (363671),Fitness_Club,[75],1500,7,2.0,57.14,✓| ✓,AUC,Default,RealMLP,0.812,0.822,0.9999999999999898
46927 (363671),Fitness_Club,[75],1500,7,2.0,57.14,✓| ✓,AUC,Tuned,RealMLP,0.814,0.82,0.6000000000000005
46927 (363671),Fitness_Club,[75],1500,7,2.0,57.14,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.816,0.819,0.30000000000000027
46928 (363672),Food_Delivery_Time,[108],45451,10,,30.0,✗| ✗,rmse,Default,RealMLP,7.926,7.379,6.901337370678787
46928 (363672),Food_Delivery_Time,[108],45451,10,,30.0,✗| ✗,rmse,Tuned,RealMLP,7.453,7.367,1.1538977592915645
46928 (363672),Food_Delivery_Time,[108],45451,10,,30.0,✗| ✗,rmse,Tuned + Ens.,RealMLP,7.414,7.362,0.7013757755597465
46929 (363673),GiveMeSomeCredit,[116],150000,11,2.0,9.09,✗| ✓,AUC,Default,RealMLP,0.865,0.866,0.10000000000000009
46929 (363673),GiveMeSomeCredit,[116],150000,11,2.0,9.09,✗| ✓,AUC,Tuned,RealMLP,0.866,0.867,0.10000000000000009
46929 (363673),GiveMeSomeCredit,[116],150000,11,2.0,9.09,✗| ✓,AUC,Tuned + Ens.,RealMLP,0.866,0.867,0.10000000000000009
46935 (363679),HR_Analytics_Job_Change,[101],19158,13,2.0,76.92,✗| ✓,AUC,Default,RealMLP,0.801,0.805,0.40000000000000036
46935 (363679),HR_Analytics_Job_Change,[101],19158,13,2.0,76.92,✗| ✓,AUC,Tuned,RealMLP,0.801,0.804,0.30000000000000027
46935 (363679),HR_Analytics_Job_Change,[101],19158,13,2.0,76.92,✗| ✓,AUC,Tuned + Ens.,RealMLP,0.803,0.805,0.20000000000000018
46938 (363682),Is-this-a-good-customer,[79],1723,14,2.0,64.29,✓| ✓,AUC,Default,RealMLP,0.732,0.751,1.9000000000000017
46938 (363682),Is-this-a-good-customer,[79],1723,14,2.0,64.29,✓| ✓,AUC,Tuned,RealMLP,0.731,0.745,1.4000000000000012
46938 (363682),Is-this-a-good-customer,[79],1723,14,2.0,64.29,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.742,0.748,0.6000000000000005
46980 (363711),MIC,[78],1699,112,8.0,84.82,✓| ✓,logloss,Default,RealMLP,0.492,0.432,12.195121951219512
46980 (363711),MIC,[78],1699,112,8.0,84.82,✓| ✓,logloss,Tuned,RealMLP,0.439,0.431,1.8223234624145803
46980 (363711),MIC,[78],1699,112,8.0,84.82,✓| ✓,logloss,Tuned + Ens.,RealMLP,0.434,0.43,0.9216589861751161
46940 (363684),Marketing_Campaign,[80],2240,26,2.0,34.62,✓| ✓,AUC,Default,RealMLP,0.906,0.915,0.9000000000000008
46940 (363684),Marketing_Campaign,[80],2240,26,2.0,34.62,✓| ✓,AUC,Tuned,RealMLP,0.907,0.916,0.9000000000000008
46940 (363684),Marketing_Campaign,[80],2240,26,2.0,34.62,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.911,0.919,0.8000000000000007
46969 (363689),NATICUSdroid,[92],7491,87,2.0,100.0,✓| ✓,AUC,Default,RealMLP,0.985,0.987,0.20000000000000018
46969 (363689),NATICUSdroid,[92],7491,87,2.0,100.0,✓| ✓,AUC,Tuned,RealMLP,0.986,0.986,0.0
46969 (363689),NATICUSdroid,[92],7491,87,2.0,100.0,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.986,0.987,0.10000000000000009
46953 (363697),QSAR-TID-11,[88],5742,1025,,0.0,✗| ✗,rmse,Default,RealMLP,0.763,0.761,0.26212319790301464
46953 (363697),QSAR-TID-11,[88],5742,1025,,0.0,✗| ✗,rmse,Tuned,RealMLP,0.764,0.744,2.6178010471204214
46953 (363697),QSAR-TID-11,[88],5742,1025,,0.0,✗| ✗,rmse,Tuned + Ens.,RealMLP,0.754,0.734,2.6525198938992065
46954 (363698),QSAR_fish_toxicity,[68],907,7,,0.0,✓| ✗,rmse,Default,RealMLP,0.878,0.859,2.164009111617314
46954 (363698),QSAR_fish_toxicity,[68],907,7,,0.0,✓| ✗,rmse,Tuned,RealMLP,0.884,0.873,1.244343891402716
46954 (363698),QSAR_fish_toxicity,[68],907,7,,0.0,✓| ✗,rmse,Tuned + Ens.,RealMLP,0.865,0.86,0.5780346820809253
46955 (363699),SDSS17,[114],78053,12,3.0,25.0,✗| ✓,logloss,Default,RealMLP,0.103,0.074,28.155339805825243
46955 (363699),SDSS17,[114],78053,12,3.0,25.0,✗| ✓,logloss,Tuned,RealMLP,0.089,0.073,17.97752808988764
46955 (363699),SDSS17,[114],78053,12,3.0,25.0,✗| ✓,logloss,Tuned + Ens.,RealMLP,0.087,0.067,22.98850574712643
46904 (363612),airfoil_self_noise,[76],1503,6,,16.67,✓| ✗,rmse,Default,RealMLP,1.179,1.119,5.089058524173033
46904 (363612),airfoil_self_noise,[76],1503,6,,16.67,✓| ✗,rmse,Tuned,RealMLP,1.146,1.112,2.9668411867364584
46904 (363612),airfoil_self_noise,[76],1503,6,,16.67,✓| ✗,rmse,Tuned + Ens.,RealMLP,1.109,1.074,3.1559963931469723
46906 (363614),anneal,[67],898,39,5.0,84.62,✓| ✓,logloss,Default,RealMLP,0.039,0.016,58.97435897435898
46906 (363614),anneal,[67],898,39,5.0,84.62,✓| ✓,logloss,Tuned,RealMLP,0.029,0.022,24.13793103448277
46906 (363614),anneal,[67],898,39,5.0,84.62,✓| ✓,logloss,Tuned + Ens.,RealMLP,0.024,0.019,20.833333333333336
46910 (363618),bank-marketing,[106 | 107],45211,14,2.0,57.14,✗| ✓,AUC,Default,RealMLP,0.761,0.766,0.5000000000000004
46910 (363618),bank-marketing,[106 | 107],45211,14,2.0,57.14,✗| ✓,AUC,Tuned,RealMLP,0.763,0.766,0.30000000000000027
46910 (363618),bank-marketing,[106 | 107],45211,14,2.0,57.14,✗| ✓,AUC,Tuned + Ens.,RealMLP,0.765,0.766,0.10000000000000009
46913 (363621),blood-transfusion-service-center,[65],748,5,2.0,20.0,✓| ✓,AUC,Default,RealMLP,0.75,0.756,0.6000000000000005
46913 (363621),blood-transfusion-service-center,[65],748,5,2.0,20.0,✓| ✓,AUC,Tuned,RealMLP,0.737,0.754,1.7000000000000015
46913 (363621),blood-transfusion-service-center,[65],748,5,2.0,20.0,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.742,0.756,1.4000000000000012
46915 (363623),churn,[87],5000,20,2.0,25.0,✓| ✓,AUC,Default,RealMLP,0.92,0.928,0.8000000000000007
46915 (363623),churn,[87],5000,20,2.0,25.0,✓| ✓,AUC,Tuned,RealMLP,0.924,0.932,0.8000000000000007
46915 (363623),churn,[87],5000,20,2.0,25.0,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.927,0.931,0.40000000000000036
46916 (363624),coil2000_insurance_policies,[93],9822,86,2.0,4.65,✓| ✓,AUC,Default,RealMLP,0.742,0.761,1.9000000000000017
46916 (363624),coil2000_insurance_policies,[93],9822,86,2.0,4.65,✓| ✓,AUC,Tuned,RealMLP,0.755,0.773,1.8000000000000016
46916 (363624),coil2000_insurance_policies,[93],9822,86,2.0,4.65,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.763,0.773,1.0000000000000009
46917 (363625),concrete_compressive_strength,[71],1030,9,,0.0,✓| ✗,rmse,Default,RealMLP,4.688,4.214,10.11092150170647
46917 (363625),concrete_compressive_strength,[71],1030,9,,0.0,✓| ✗,rmse,Tuned,RealMLP,4.344,4.171,3.982504604051566
46917 (363625),concrete_compressive_strength,[71],1030,9,,0.0,✓| ✗,rmse,Tuned + Ens.,RealMLP,4.133,4.118,0.36293249455600485
46918 (363626),credit-g,[69],1000,21,2.0,66.67,✓| ✓,AUC,Default,RealMLP,0.785,0.793,0.8000000000000007
46918 (363626),credit-g,[69],1000,21,2.0,66.67,✓| ✓,AUC,Tuned,RealMLP,0.784,0.795,1.100000000000001
46918 (363626),credit-g,[69],1000,21,2.0,66.67,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.791,0.796,0.5000000000000004
46919 (363627),credit_card_clients_default,[104],30000,24,2.0,16.67,✗| ✓,AUC,Default,RealMLP,0.785,0.788,0.30000000000000027
46919 (363627),credit_card_clients_default,[104],30000,24,2.0,16.67,✗| ✓,AUC,Tuned,RealMLP,0.785,0.788,0.30000000000000027
46919 (363627),credit_card_clients_default,[104],30000,24,2.0,16.67,✗| ✓,AUC,Tuned + Ens.,RealMLP,0.786,0.788,0.20000000000000018
46920 (363628),customer_satisfaction_in_airline,[115],129880,22,2.0,77.27,✗| ✓,AUC,Default,RealMLP,0.995,0.995,0.0
46920 (363628),customer_satisfaction_in_airline,[115],129880,22,2.0,77.27,✗| ✓,AUC,Tuned,RealMLP,0.995,0.995,0.0
46920 (363628),customer_satisfaction_in_airline,[115],129880,22,2.0,77.27,✗| ✓,AUC,Tuned + Ens.,RealMLP,0.995,0.996,0.10000000000000009
46921 (363629),diabetes,[66],768,9,2.0,11.11,✓| ✓,AUC,Default,RealMLP,0.833,0.844,1.100000000000001
46921 (363629),diabetes,[66],768,9,2.0,11.11,✓| ✓,AUC,Tuned,RealMLP,0.832,0.842,1.0000000000000009
46921 (363629),diabetes,[66],768,9,2.0,11.11,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.836,0.84,0.40000000000000036
46923 (363631),diamonds,[111],53940,10,,30.0,✗| ✗,rmse,Default,RealMLP,529.6,520.7,1.680513595166159
46923 (363631),diamonds,[111],53940,10,,30.0,✗| ✗,rmse,Tuned,RealMLP,521.5,520.7,0.1534036433365205
46923 (363631),diamonds,[111],53940,10,,30.0,✗| ✗,rmse,Tuned + Ens.,RealMLP,513.7,510.3,0.6618649016936021
46930 (363674),hazelnut-spread-contaminant-detection,[81],2400,31,2.0,3.23,✓| ✓,AUC,Default,RealMLP,0.984,0.992,0.8000000000000007
46930 (363674),hazelnut-spread-contaminant-detection,[81],2400,31,2.0,3.23,✓| ✓,AUC,Tuned,RealMLP,0.986,0.989,0.30000000000000027
46930 (363674),hazelnut-spread-contaminant-detection,[81],2400,31,2.0,3.23,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.986,0.989,0.30000000000000027
46931 (363675),healthcare_insurance_expenses,[73],1338,7,,42.86,✓| ✗,rmse,Default,RealMLP,4579.2,4508.4,1.5461215932914087
46931 (363675),healthcare_insurance_expenses,[73],1338,7,,42.86,✓| ✗,rmse,Tuned,RealMLP,4570.6,4499.7,1.5512186583818435
46931 (363675),healthcare_insurance_expenses,[73],1338,7,,42.86,✓| ✗,rmse,Tuned + Ens.,RealMLP,4534.8,4490.4,0.9790949986769106
46932 (363676),heloc,[95],10459,24,2.0,4.17,✓| ✓,AUC,Default,RealMLP,0.798,0.801,0.30000000000000027
46932 (363676),heloc,[95],10459,24,2.0,4.17,✓| ✓,AUC,Tuned,RealMLP,0.798,0.801,0.30000000000000027
46932 (363676),heloc,[95],10459,24,2.0,4.17,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.8,0.801,0.10000000000000009
46933 (363677),hiva_agnostic,[85],3845,1618,3.0,100.0,✗| ✗,logloss,Default,RealMLP,0.196,0.174,11.224489795918377
46933 (363677),hiva_agnostic,[85],3845,1618,3.0,100.0,✗| ✗,logloss,Tuned,RealMLP,0.176,0.174,1.1363636363636374
46933 (363677),hiva_agnostic,[85],3845,1618,3.0,100.0,✗| ✗,logloss,Tuned + Ens.,RealMLP,0.179,0.174,2.7932960893854775
46934 (363678),houses,[102],20640,9,,0.0,✗| ✗,rmse,Default,RealMLP,0.223,0.204,8.520179372197317
46934 (363678),houses,[102],20640,9,,0.0,✗| ✗,rmse,Tuned,RealMLP,0.211,0.203,3.791469194312787
46934 (363678),houses,[102],20640,9,,0.0,✗| ✗,rmse,Tuned + Ens.,RealMLP,0.203,0.199,1.9704433497536964
46937 (363681),in_vehicle_coupon_recommendation,[99],12684,25,2.0,88.0,✓| ✓,AUC,Default,RealMLP,0.837,0.848,1.100000000000001
46937 (363681),in_vehicle_coupon_recommendation,[99],12684,25,2.0,88.0,✓| ✓,AUC,Tuned,RealMLP,0.839,0.851,1.200000000000001
46937 (363681),in_vehicle_coupon_recommendation,[99],12684,25,2.0,88.0,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.849,0.852,0.30000000000000027
46979 (363712),jm1,[96],10885,22,2.0,4.55,✓| ✓,AUC,Default,RealMLP,0.731,0.776,4.5000000000000036
46979 (363712),jm1,[96],10885,22,2.0,4.55,✓| ✓,AUC,Tuned,RealMLP,0.735,0.761,2.6000000000000023
46979 (363712),jm1,[96],10885,22,2.0,4.55,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.749,0.773,2.400000000000002
46939 (363683),kddcup09_appetency,[110],50000,213,2.0,18.31,✗| ✓,AUC,Default,RealMLP,0.82,0.846,2.6000000000000023
46939 (363683),kddcup09_appetency,[110],50000,213,2.0,18.31,✗| ✓,AUC,Tuned,RealMLP,0.822,0.845,2.300000000000002
46939 (363683),kddcup09_appetency,[110],50000,213,2.0,18.31,✗| ✓,AUC,Tuned + Ens.,RealMLP,0.832,0.846,1.4000000000000012
46941 (363685),maternal_health_risk,[70],1014,7,3.0,14.29,✓| ✓,logloss,Default,RealMLP,0.558,0.405,27.41935483870968
46941 (363685),maternal_health_risk,[70],1014,7,3.0,14.29,✓| ✓,logloss,Tuned,RealMLP,0.463,0.439,5.18358531317495
46941 (363685),maternal_health_risk,[70],1014,7,3.0,14.29,✓| ✓,logloss,Tuned + Ens.,RealMLP,0.436,0.428,1.8348623853211024
46942 (363686),miami_housing,[100],13776,16,,6.25,✓| ✗,rmse,Default,RealMLP,8605.0,7985.0,7.205113306217316
46942 (363686),miami_housing,[100],13776,16,,6.25,✓| ✗,rmse,Tuned,RealMLP,8337.0,7829.0,6.093318939666547
46942 (363686),miami_housing,[100],13776,16,,6.25,✓| ✗,rmse,Tuned + Ens.,RealMLP,8018.0,7711.0,3.8288850087303565
46947 (363691),online_shoppers_intention,[98],12330,18,2.0,44.44,✓| ✓,AUC,Default,RealMLP,0.929,0.937,0.8000000000000007
46947 (363691),online_shoppers_intention,[98],12330,18,2.0,44.44,✓| ✓,AUC,Tuned,RealMLP,0.933,0.937,0.40000000000000036
46947 (363691),online_shoppers_intention,[98],12330,18,2.0,44.44,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.934,0.937,0.30000000000000027
46949 (363693),physiochemical_protein,[109],45730,10,,0.0,✗| ✗,rmse,Default,RealMLP,3.466,2.912,15.983843046739764
46949 (363693),physiochemical_protein,[109],45730,10,,0.0,✗| ✗,rmse,Tuned,RealMLP,3.284,3.056,6.942752740560286
46949 (363693),physiochemical_protein,[109],45730,10,,0.0,✗| ✗,rmse,Tuned + Ens.,RealMLP,3.125,2.985,4.480000000000004
46950 (363694),polish_companies_bankruptcy,[89],5910,65,2.0,1.54,✓| ✓,AUC,Default,RealMLP,0.962,0.974,1.200000000000001
46950 (363694),polish_companies_bankruptcy,[89],5910,65,2.0,1.54,✓| ✓,AUC,Tuned,RealMLP,0.957,0.979,2.200000000000002
46950 (363694),polish_companies_bankruptcy,[89],5910,65,2.0,1.54,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.963,0.981,1.8000000000000016
46952 (363696),qsar-biodeg,[72],1054,42,2.0,14.29,✓| ✓,AUC,Default,RealMLP,0.927,0.938,1.0999999999999899
46952 (363696),qsar-biodeg,[72],1054,42,2.0,14.29,✓| ✓,AUC,Tuned,RealMLP,0.926,0.934,0.8000000000000007
46952 (363696),qsar-biodeg,[72],1054,42,2.0,14.29,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.934,0.936,0.20000000000000018
46956 (363700),seismic-bumps,[82],2584,16,2.0,25.0,✓| ✓,AUC,Default,RealMLP,0.76,0.783,2.300000000000002
46956 (363700),seismic-bumps,[82],2584,16,2.0,25.0,✓| ✓,AUC,Tuned,RealMLP,0.761,0.772,1.100000000000001
46956 (363700),seismic-bumps,[82],2584,16,2.0,25.0,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.766,0.771,0.5000000000000004
46958 (363702),splice,[83],3190,61,3.0,100.0,✓| ✓,logloss,Default,RealMLP,0.126,0.107,15.07936507936508
46958 (363702),splice,[83],3190,61,3.0,100.0,✓| ✓,logloss,Tuned,RealMLP,0.11,0.103,6.3636363636363695
46958 (363702),splice,[83],3190,61,3.0,100.0,✓| ✓,logloss,Tuned + Ens.,RealMLP,0.106,0.099,6.603773584905653
46960 (363704),students_dropout_and_academic_success,[86],4424,37,3.0,48.65,✓| ✓,logloss,Default,RealMLP,0.556,0.534,3.9568345323741037
46960 (363704),students_dropout_and_academic_success,[86],4424,37,3.0,48.65,✓| ✓,logloss,Tuned,RealMLP,0.553,0.529,4.339963833634723
46960 (363704),students_dropout_and_academic_success,[86],4424,37,3.0,48.65,✓| ✓,logloss,Tuned + Ens.,RealMLP,0.542,0.527,2.7675276752767553
46961 (363705),superconductivity,[103],21263,82,,0.0,✗| ✗,rmse,Default,RealMLP,9.57,9.08,5.120167189132709
46961 (363705),superconductivity,[103],21263,82,,0.0,✗| ✗,rmse,Tuned,RealMLP,9.44,9.28,1.6949152542372898
46961 (363705),superconductivity,[103],21263,82,,0.0,✗| ✗,rmse,Tuned + Ens.,RealMLP,9.22,9.22,0.0
46962 (363706),taiwanese_bankruptcy_prediction,[91],6819,95,2.0,1.05,✓| ✓,AUC,Default,RealMLP,0.941,0.944,0.30000000000000027
46962 (363706),taiwanese_bankruptcy_prediction,[91],6819,95,2.0,1.05,✓| ✓,AUC,Tuned,RealMLP,0.941,0.944,0.30000000000000027
46962 (363706),taiwanese_bankruptcy_prediction,[91],6819,95,2.0,1.05,✓| ✓,AUC,Tuned + Ens.,RealMLP,0.945,0.946,0.10000000000000009
46963 (363707),website_phishing,[74],1353,10,3.0,100.0,✓| ✓,logloss,Default,RealMLP,0.256,0.228,10.937499999999998
46963 (363707),website_phishing,[74],1353,10,3.0,100.0,✓| ✓,logloss,Tuned,RealMLP,0.236,0.223,5.50847457627118
46963 (363707),website_phishing,[74],1353,10,3.0,100.0,✓| ✓,logloss,Tuned + Ens.,RealMLP,0.232,0.222,4.310344827586211
46964 (363708),wine_quality,[90],6497,13,,7.69,✓| ✗,rmse,Default,RealMLP,0.625,0.59,5.600000000000005
46964 (363708),wine_quality,[90],6497,13,,7.69,✓| ✗,rmse,Tuned,RealMLP,0.618,0.605,2.1035598705501637
46964 (363708),wine_quality,[90],6497,13,,7.69,✓| ✗,rmse,Tuned + Ens.,RealMLP,0.603,0.599,0.663349917081261
