Dataset_Task_ID,Name,Ref,N,d,C,perc_cat,Subset,Metric,Setting,Model,Score,BestScore,improvability
46955 (363699),SDSS17,[114],78053,12,3.0,25.0,✗| ✓,logloss,Tuned + Ens.,RF,0.072,0.067,6.944444444444432
46904 (363612),airfoil_self_noise,[76],1503,6,,16.67,✓| ✗,rmse,Default,RF,1.898,1.119,41.04320337197049
46904 (363612),airfoil_self_noise,[76],1503,6,,16.67,✓| ✗,rmse,Tuned,RF,1.891,1.112,41.195134849286084
46904 (363612),airfoil_self_noise,[76],1503,6,,16.67,✓| ✗,rmse,Tuned + Ens.,RF,1.851,1.074,41.9773095623987
46906 (363614),anneal,[67],898,39,5.0,84.62,✓| ✓,logloss,Default,RF,0.046,0.016,65.21739130434783
46906 (363614),anneal,[67],898,39,5.0,84.62,✓| ✓,logloss,Tuned,RF,0.028,0.022,21.428571428571434
46906 (363614),anneal,[67],898,39,5.0,84.62,✓| ✓,logloss,Tuned + Ens.,RF,0.023,0.019,17.391304347826086
46910 (363618),bank-marketing,[106 | 107],45211,14,2.0,57.14,✗| ✓,AUC,Default,RF,0.726,0.766,4.0000000000000036
46910 (363618),bank-marketing,[106 | 107],45211,14,2.0,57.14,✗| ✓,AUC,Tuned,RF,0.761,0.766,0.5000000000000004
46910 (363618),bank-marketing,[106 | 107],45211,14,2.0,57.14,✗| ✓,AUC,Tuned + Ens.,RF,0.761,0.766,0.5000000000000004
46913 (363621),blood-transfusion-service-center,[65],748,5,2.0,20.0,✓| ✓,AUC,Default,RF,0.682,0.756,7.399999999999995
46913 (363621),blood-transfusion-service-center,[65],748,5,2.0,20.0,✓| ✓,AUC,Tuned,RF,0.714,0.754,4.0000000000000036
46913 (363621),blood-transfusion-service-center,[65],748,5,2.0,20.0,✓| ✓,AUC,Tuned + Ens.,RF,0.713,0.756,4.300000000000004
46915 (363623),churn,[87],5000,20,2.0,25.0,✓| ✓,AUC,Default,RF,0.915,0.928,1.3000000000000012
46915 (363623),churn,[87],5000,20,2.0,25.0,✓| ✓,AUC,Tuned,RF,0.913,0.932,1.9000000000000017
46915 (363623),churn,[87],5000,20,2.0,25.0,✓| ✓,AUC,Tuned + Ens.,RF,0.913,0.931,1.8000000000000016
46916 (363624),coil2000_insurance_policies,[93],9822,86,2.0,4.65,✓| ✓,AUC,Default,RF,0.697,0.761,6.400000000000006
46916 (363624),coil2000_insurance_policies,[93],9822,86,2.0,4.65,✓| ✓,AUC,Tuned,RF,0.741,0.773,3.200000000000003
46916 (363624),coil2000_insurance_policies,[93],9822,86,2.0,4.65,✓| ✓,AUC,Tuned + Ens.,RF,0.742,0.773,3.1000000000000028
46917 (363625),concrete_compressive_strength,[71],1030,9,,0.0,✓| ✗,rmse,Default,RF,5.261,4.214,19.9011594753849
46917 (363625),concrete_compressive_strength,[71],1030,9,,0.0,✓| ✗,rmse,Tuned,RF,5.189,4.171,19.61842358835999
46917 (363625),concrete_compressive_strength,[71],1030,9,,0.0,✓| ✗,rmse,Tuned + Ens.,RF,5.106,4.118,19.349784567175863
46918 (363626),credit-g,[69],1000,21,2.0,66.67,✓| ✓,AUC,Default,RF,0.783,0.793,1.0000000000000009
46918 (363626),credit-g,[69],1000,21,2.0,66.67,✓| ✓,AUC,Tuned,RF,0.781,0.795,1.4000000000000012
46918 (363626),credit-g,[69],1000,21,2.0,66.67,✓| ✓,AUC,Tuned + Ens.,RF,0.782,0.796,1.4000000000000012
46919 (363627),credit_card_clients_default,[104],30000,24,2.0,16.67,✗| ✓,AUC,Default,RF,0.765,0.788,2.300000000000002
46919 (363627),credit_card_clients_default,[104],30000,24,2.0,16.67,✗| ✓,AUC,Tuned,RF,0.78,0.788,0.8000000000000007
46919 (363627),credit_card_clients_default,[104],30000,24,2.0,16.67,✗| ✓,AUC,Tuned + Ens.,RF,0.78,0.788,0.8000000000000007
46920 (363628),customer_satisfaction_in_airline,[115],129880,22,2.0,77.27,✗| ✓,AUC,Default,RF,0.993,0.995,0.20000000000000018
46920 (363628),customer_satisfaction_in_airline,[115],129880,22,2.0,77.27,✗| ✓,AUC,Tuned,RF,0.993,0.995,0.20000000000000018
46920 (363628),customer_satisfaction_in_airline,[115],129880,22,2.0,77.27,✗| ✓,AUC,Tuned + Ens.,RF,0.993,0.996,0.30000000000000027
46921 (363629),diabetes,[66],768,9,2.0,11.11,✓| ✓,AUC,Default,RF,0.825,0.844,1.9000000000000017
46921 (363629),diabetes,[66],768,9,2.0,11.11,✓| ✓,AUC,Tuned,RF,0.83,0.842,1.200000000000001
46921 (363629),diabetes,[66],768,9,2.0,11.11,✓| ✓,AUC,Tuned + Ens.,RF,0.83,0.84,1.0000000000000009
46923 (363631),diamonds,[111],53940,10,,30.0,✗| ✗,rmse,Default,RF,549.9,520.7,5.310056373886149
46923 (363631),diamonds,[111],53940,10,,30.0,✗| ✗,rmse,Tuned,RF,549.9,520.7,5.310056373886149
46923 (363631),diamonds,[111],53940,10,,30.0,✗| ✗,rmse,Tuned + Ens.,RF,547.2,510.3,6.743421052631585
46930 (363674),hazelnut-spread-contaminant-detection,[81],2400,31,2.0,3.23,✓| ✓,AUC,Default,RF,0.958,0.992,3.400000000000003
46930 (363674),hazelnut-spread-contaminant-detection,[81],2400,31,2.0,3.23,✓| ✓,AUC,Tuned,RF,0.959,0.989,3.0000000000000027
46930 (363674),hazelnut-spread-contaminant-detection,[81],2400,31,2.0,3.23,✓| ✓,AUC,Tuned + Ens.,RF,0.96,0.989,2.9000000000000026
46931 (363675),healthcare_insurance_expenses,[73],1338,7,,42.86,✓| ✗,rmse,Default,RF,4888.5,4508.4,7.7753912243019405
46931 (363675),healthcare_insurance_expenses,[73],1338,7,,42.86,✓| ✗,rmse,Tuned,RF,4641.1,4499.7,3.0466915170972513
46931 (363675),healthcare_insurance_expenses,[73],1338,7,,42.86,✓| ✗,rmse,Tuned + Ens.,RF,4629.6,4490.4,3.0067392431311712
46932 (363676),heloc,[95],10459,24,2.0,4.17,✓| ✓,AUC,Default,RF,0.791,0.801,1.0000000000000009
46932 (363676),heloc,[95],10459,24,2.0,4.17,✓| ✓,AUC,Tuned,RF,0.792,0.801,0.9000000000000008
46932 (363676),heloc,[95],10459,24,2.0,4.17,✓| ✓,AUC,Tuned + Ens.,RF,0.793,0.801,0.8000000000000007
46933 (363677),hiva_agnostic,[85],3845,1618,3.0,100.0,✗| ✗,logloss,Default,RF,0.263,0.174,33.84030418250951
46933 (363677),hiva_agnostic,[85],3845,1618,3.0,100.0,✗| ✗,logloss,Tuned,RF,0.174,0.174,0.0
46933 (363677),hiva_agnostic,[85],3845,1618,3.0,100.0,✗| ✗,logloss,Tuned + Ens.,RF,0.174,0.174,0.0
46934 (363678),houses,[102],20640,9,,0.0,✗| ✗,rmse,Default,RF,0.231,0.204,11.688311688311698
46934 (363678),houses,[102],20640,9,,0.0,✗| ✗,rmse,Tuned,RF,0.231,0.203,12.12121212121212
46934 (363678),houses,[102],20640,9,,0.0,✗| ✗,rmse,Tuned + Ens.,RF,0.23,0.199,13.478260869565217
46937 (363681),in_vehicle_coupon_recommendation,[99],12684,25,2.0,88.0,✓| ✓,AUC,Default,RF,0.812,0.848,3.599999999999992
46937 (363681),in_vehicle_coupon_recommendation,[99],12684,25,2.0,88.0,✓| ✓,AUC,Tuned,RF,0.817,0.851,3.400000000000003
46937 (363681),in_vehicle_coupon_recommendation,[99],12684,25,2.0,88.0,✓| ✓,AUC,Tuned + Ens.,RF,0.822,0.852,3.0000000000000027
46979 (363712),jm1,[96],10885,22,2.0,4.55,✓| ✓,AUC,Default,RF,0.752,0.776,2.400000000000002
46979 (363712),jm1,[96],10885,22,2.0,4.55,✓| ✓,AUC,Tuned,RF,0.752,0.761,0.9000000000000008
46979 (363712),jm1,[96],10885,22,2.0,4.55,✓| ✓,AUC,Tuned + Ens.,RF,0.761,0.773,1.200000000000001
46939 (363683),kddcup09_appetency,[110],50000,213,2.0,18.31,✗| ✓,AUC,Default,RF,0.772,0.846,7.399999999999995
46939 (363683),kddcup09_appetency,[110],50000,213,2.0,18.31,✗| ✓,AUC,Tuned,RF,0.822,0.845,2.300000000000002
46939 (363683),kddcup09_appetency,[110],50000,213,2.0,18.31,✗| ✓,AUC,Tuned + Ens.,RF,0.821,0.846,2.500000000000002
46941 (363685),maternal_health_risk,[70],1014,7,3.0,14.29,✓| ✓,logloss,Default,RF,0.479,0.405,15.448851774530262
46941 (363685),maternal_health_risk,[70],1014,7,3.0,14.29,✓| ✓,logloss,Tuned,RF,0.47,0.439,6.595744680851058
46941 (363685),maternal_health_risk,[70],1014,7,3.0,14.29,✓| ✓,logloss,Tuned + Ens.,RF,0.448,0.428,4.464285714285718
46942 (363686),miami_housing,[100],13776,16,,6.25,✓| ✗,rmse,Default,RF,9676.0,7985.0,17.476229847044234
46942 (363686),miami_housing,[100],13776,16,,6.25,✓| ✗,rmse,Tuned,RF,9332.0,7829.0,16.10587226746678
46942 (363686),miami_housing,[100],13776,16,,6.25,✓| ✗,rmse,Tuned + Ens.,RF,9302.0,7711.0,17.103848634702214
46947 (363691),online_shoppers_intention,[98],12330,18,2.0,44.44,✓| ✓,AUC,Default,RF,0.926,0.937,1.100000000000001
46947 (363691),online_shoppers_intention,[98],12330,18,2.0,44.44,✓| ✓,AUC,Tuned,RF,0.931,0.937,0.6000000000000005
46947 (363691),online_shoppers_intention,[98],12330,18,2.0,44.44,✓| ✓,AUC,Tuned + Ens.,RF,0.932,0.937,0.5000000000000004
46949 (363693),physiochemical_protein,[109],45730,10,,0.0,✗| ✗,rmse,Default,RF,3.565,2.912,18.316970546984574
46949 (363693),physiochemical_protein,[109],45730,10,,0.0,✗| ✗,rmse,Tuned,RF,3.463,3.056,11.752815477909326
46949 (363693),physiochemical_protein,[109],45730,10,,0.0,✗| ✗,rmse,Tuned + Ens.,RF,3.471,2.985,14.001728608470188
46950 (363694),polish_companies_bankruptcy,[89],5910,65,2.0,1.54,✓| ✓,AUC,Default,RF,0.927,0.974,4.699999999999993
46950 (363694),polish_companies_bankruptcy,[89],5910,65,2.0,1.54,✓| ✓,AUC,Tuned,RF,0.935,0.979,4.399999999999993
46950 (363694),polish_companies_bankruptcy,[89],5910,65,2.0,1.54,✓| ✓,AUC,Tuned + Ens.,RF,0.938,0.981,4.300000000000004
46952 (363696),qsar-biodeg,[72],1054,42,2.0,14.29,✓| ✓,AUC,Default,RF,0.93,0.938,0.7999999999999896
46952 (363696),qsar-biodeg,[72],1054,42,2.0,14.29,✓| ✓,AUC,Tuned,RF,0.929,0.934,0.5000000000000004
46952 (363696),qsar-biodeg,[72],1054,42,2.0,14.29,✓| ✓,AUC,Tuned + Ens.,RF,0.929,0.936,0.7000000000000006
46956 (363700),seismic-bumps,[82],2584,16,2.0,25.0,✓| ✓,AUC,Default,RF,0.747,0.783,3.600000000000003
46956 (363700),seismic-bumps,[82],2584,16,2.0,25.0,✓| ✓,AUC,Tuned,RF,0.767,0.772,0.5000000000000004
46956 (363700),seismic-bumps,[82],2584,16,2.0,25.0,✓| ✓,AUC,Tuned + Ens.,RF,0.765,0.771,0.6000000000000005
46958 (363702),splice,[83],3190,61,3.0,100.0,✓| ✓,logloss,Default,RF,0.317,0.107,66.24605678233439
46958 (363702),splice,[83],3190,61,3.0,100.0,✓| ✓,logloss,Tuned,RF,0.18,0.103,42.77777777777778
46958 (363702),splice,[83],3190,61,3.0,100.0,✓| ✓,logloss,Tuned + Ens.,RF,0.178,0.099,44.38202247191011
46960 (363704),students_dropout_and_academic_success,[86],4424,37,3.0,48.65,✓| ✓,logloss,Default,RF,0.584,0.534,8.561643835616428
46960 (363704),students_dropout_and_academic_success,[86],4424,37,3.0,48.65,✓| ✓,logloss,Tuned,RF,0.576,0.529,8.15972222222221
46960 (363704),students_dropout_and_academic_success,[86],4424,37,3.0,48.65,✓| ✓,logloss,Tuned + Ens.,RF,0.574,0.527,8.188153310104518
46961 (363705),superconductivity,[103],21263,82,,0.0,✗| ✗,rmse,Default,RF,9.63,9.08,5.711318795430952
46961 (363705),superconductivity,[103],21263,82,,0.0,✗| ✗,rmse,Tuned,RF,9.62,9.28,3.534303534303533
46961 (363705),superconductivity,[103],21263,82,,0.0,✗| ✗,rmse,Tuned + Ens.,RF,9.53,9.22,3.252885624344163
46962 (363706),taiwanese_bankruptcy_prediction,[91],6819,95,2.0,1.05,✓| ✓,AUC,Default,RF,0.933,0.944,1.0999999999999899
46962 (363706),taiwanese_bankruptcy_prediction,[91],6819,95,2.0,1.05,✓| ✓,AUC,Tuned,RF,0.932,0.944,1.19999999999999
46962 (363706),taiwanese_bankruptcy_prediction,[91],6819,95,2.0,1.05,✓| ✓,AUC,Tuned + Ens.,RF,0.932,0.946,1.3999999999999901
46963 (363707),website_phishing,[74],1353,10,3.0,100.0,✓| ✓,logloss,Default,RF,0.312,0.228,26.923076923076923
46963 (363707),website_phishing,[74],1353,10,3.0,100.0,✓| ✓,logloss,Tuned,RF,0.262,0.223,14.88549618320611
46963 (363707),website_phishing,[74],1353,10,3.0,100.0,✓| ✓,logloss,Tuned + Ens.,RF,0.257,0.222,13.618677042801558
46964 (363708),wine_quality,[90],6497,13,,7.69,✓| ✗,rmse,Default,RF,0.62,0.59,4.8387096774193585
46964 (363708),wine_quality,[90],6497,13,,7.69,✓| ✗,rmse,Tuned,RF,0.616,0.605,1.7857142857142874
46964 (363708),wine_quality,[90],6497,13,,7.69,✓| ✗,rmse,Tuned + Ens.,RF,0.611,0.599,1.9639934533551573
46908 (363616),APSFailure,[113],76000,171,2.0,0.58,✗| ✓,AUC,Default,ExtraTrees,0.99,0.993,0.30000000000000027
