Model,Dataset,Prob True,Prob Pred
LGBM Basic Tuned,Test,0.0,0.0005787098229044821
LGBM Basic Tuned,Test,0.006134969325153374,0.0007410099160016735
LGBM Basic Tuned,Test,0.0,0.000977944698438344
LGBM Basic Tuned,Test,0.0,0.001546683042084374
LGBM Basic Tuned,Test,0.018518518518518517,0.003827333794345248
LGBM Basic Tuned,Test,0.037037037037037035,0.008932175906129696
LGBM Basic Tuned,Test,0.024539877300613498,0.01777139877090299
LGBM Basic Tuned,Test,0.018518518518518517,0.03621465549433146
LGBM Basic Tuned,Test,0.20245398773006135,0.20917847000248757
LGBM Over Tuned,Train,0.0,1.1476138202617694e-09
LGBM Over Tuned,Train,0.0,6.141496210854823e-09
LGBM Over Tuned,Train,0.0,2.1930008324426435e-08
LGBM Over Tuned,Train,0.0,7.609004461988123e-08
LGBM Over Tuned,Train,0.0,2.543160023725197e-07
LGBM Over Tuned,Train,0.0,9.54396478602858e-07
LGBM Over Tuned,Train,0.0,3.616099688213685e-06
LGBM Over Tuned,Train,0.0,1.4928992034509849e-05
LGBM Over Tuned,Train,0.0,7.254031428870115e-05
LGBM Over Tuned,Train,0.30327868852459017,0.30355025190059476
LGBM Over Tuned,Test,0.0,1.1331096523144808e-09
LGBM Over Tuned,Test,0.006172839506172839,6.710571070629535e-09
LGBM Over Tuned,Test,0.012269938650306749,2.524415500175023e-08
LGBM Over Tuned,Test,0.006172839506172839,8.28297945448108e-08
LGBM Over Tuned,Test,0.012269938650306749,3.030749060472209e-07
LGBM Over Tuned,Test,0.0,1.0378548577823386e-06
LGBM Over Tuned,Test,0.030864197530864196,4.06017132905384e-06
LGBM Over Tuned,Test,0.0,1.889337066764467e-05
LGBM Over Tuned,Test,0.05555555555555555,0.00016475333131231597
LGBM Over Tuned,Test,0.18404907975460122,0.198745429534148
LGBM Weighted Tuned,Train,0.0,2.6623342796324125e-05
LGBM Weighted Tuned,Train,0.0,8.257402968607203e-05
LGBM Weighted Tuned,Train,0.0,0.00020191453911427973
LGBM Weighted Tuned,Train,0.0,0.00045524811481049407
LGBM Weighted Tuned,Train,0.0,0.001101917776476065
LGBM Weighted Tuned,Train,0.0,0.0025669201287230586
LGBM Weighted Tuned,Train,0.0,0.006201674797951623
LGBM Weighted Tuned,Train,0.0,0.015122216994789427
LGBM Weighted Tuned,Train,0.0,0.044480620402992214
LGBM Weighted Tuned,Train,0.30327868852459017,0.4162572085929789
LGBM Weighted Tuned,Test,0.0,3.123545895133937e-05
LGBM Weighted Tuned,Test,0.0,9.48885611775191e-05
LGBM Weighted Tuned,Test,0.006134969325153374,0.00022682273164202046
LGBM Weighted Tuned,Test,0.012345679012345678,0.0005438695763334112
LGBM Weighted Tuned,Test,0.018292682926829267,0.0012014747435875174
LGBM Weighted Tuned,Test,0.006211180124223602,0.0028639547478007256
LGBM Weighted Tuned,Test,0.024691358024691357,0.006501618096196221
LGBM Weighted Tuned,Test,0.03067484662576687,0.017339478676206825
LGBM Weighted Tuned,Test,0.030864197530864196,0.05999958167935733
LGBM Weighted Tuned,Test,0.17791411042944785,0.4171175902486139
