GEOID,NAME,variable,estimate,moe
06071,"San Bernardino County, California",population,2135413,NA
06073,"San Diego County, California",population,3302833,NA
06075,"San Francisco County, California",population,870044,NA
06077,"San Joaquin County, California",population,732212,NA
06079,"San Luis Obispo County, California",population,281455,NA
06081,"San Mateo County, California",population,765935,NA
06083,"Santa Barbara County, California",population,443738,NA
06085,"Santa Clara County, California",population,1922200,NA
06087,"Santa Cruz County, California",population,273765,NA
06089,"Shasta County, California",population,179085,NA
06091,"Sierra County, California",population,2930,161
06093,"Siskiyou County, California",population,43540,NA
06095,"Solano County, California",population,438530,NA
06097,"Sonoma County, California",population,501317,NA
06099,"Stanislaus County, California",population,539301,NA
06101,"Sutter County, California",population,95872,NA
06103,"Tehama County, California",population,63373,NA
06105,"Trinity County, California",population,12862,NA
06107,"Tulare County, California",population,460477,NA
06109,"Tuolumne County, California",population,53932,NA
06111,"Ventura County, California",population,848112,NA
06113,"Yolo County, California",population,214977,NA
06115,"Yuba County, California",population,75493,NA
08001,"Adams County, Colorado",population,497115,NA
08003,"Alamosa County, Colorado",population,16444,NA
08005,"Arapahoe County, Colorado",population,636671,NA
08007,"Archuleta County, Colorado",population,12908,NA
08009,"Baca County, Colorado",population,3563,NA
08011,"Bent County, Colorado",population,5809,NA
08013,"Boulder County, Colorado",population,321030,NA
08014,"Broomfield County, Colorado",population,66120,NA
08015,"Chaffee County, Colorado",population,19164,NA
08017,"Cheyenne County, Colorado",population,2039,170
08019,"Clear Creek County, Colorado",population,9379,NA
08021,"Conejos County, Colorado",population,8142,NA
08023,"Costilla County, Colorado",population,3687,NA
08025,"Crowley County, Colorado",population,5630,NA
08027,"Custer County, Colorado",population,4640,NA
08029,"Delta County, Colorado",population,30346,NA
08031,"Denver County, Colorado",population,693417,NA
08033,"Dolores County, Colorado",population,1841,170
08035,"Douglas County, Colorado",population,328614,NA
08037,"Eagle County, Colorado",population,54357,NA
08039,"Elbert County, Colorado",population,25162,NA
08041,"El Paso County, Colorado",population,688153,NA
08043,"Fremont County, Colorado",population,47002,NA
08045,"Garfield County, Colorado",population,58538,NA
08047,"Gilpin County, Colorado",population,5924,NA
08049,"Grand County, Colorado",population,15066,NA
08051,"Gunnison County, Colorado",population,16537,NA
08053,"Hinsdale County, Colorado",population,878,108
08055,"Huerfano County, Colorado",population,6583,NA
08057,"Jackson County, Colorado",population,1296,118
08059,"Jefferson County, Colorado",population,570427,NA
08061,"Kiowa County, Colorado",population,1449,118
08063,"Kit Carson County, Colorado",population,7635,NA
08065,"Lake County, Colorado",population,7585,NA
08067,"La Plata County, Colorado",population,55101,NA
